code,Taxon,species,family,community,oilcontent,ecology
300821-03,Androsace villosa,Andrvill,Primulaceae,Temperate,Yes,Strict alpine
310821-11,Androsace villosa,Andrvill,Primulaceae,Temperate,Yes,Strict alpine
300821-08,Arenaria erinacea,Arenerin,Caryophyllaceae,Temperate,Yes,Strict alpine
240821-01,Armeria duriaei,Armeduri,Plumbaginaceae,Mediterranean,Yes,Strict alpine
310821-13,Carex sempervirens,Caresemp,Cyperaceae,Temperate,Yes,Strict alpine
280721-02,Cerastium ramosissimum,Ceraramo,Caryophyllaceae,Mediterranean,Not yet,Generalist
110821-01,Dianthus langeanus,Dianlang,Caryophyllaceae,Mediterranean,Yes,Strict alpine
240821-02,Festuca summilusitana,Festsumm,Poaceae,Mediterranean,Yes,Strict alpine
130921-06,Gentiana verna,Gentvern,Gentianaceae,Temperate,Not yet,Strict alpine
300921-03,Gentianella campestris,Gentcamp,Gentianaceae,Temperate,No,Generalist
300821-10,Gypsophila repens,Gypsrepe,Caryophyllaceae,Temperate,Yes,Generalist
310821-08,Gypsophila repens,Gypsrepe,Caryophyllaceae,Temperate,Yes,Generalist
300821-05,Helianthemum canum,Helicanu,Cistaceae,Temperate,Yes,Generalist
310821-05,Helianthemum canum,Helicanu,Cistaceae,Temperate,Yes,Generalist
310821-09,Koeleria vallesiana,Koelvall,Poaceae,Temperate,Yes,Strict alpine
310821-10,Minuartia CF,MinuCF,Caryophyllaceae,Temperate,No,Generalist
120821-01,Minuartia recurva,Minurecu,Caryophyllaceae,Mediterranean,Yes,Strict alpine
240821-07,Neoschischkinia truncatula,Neostrun,Poaceae,Mediterranean,Yes,Generalist
130921-04,Pedicularis pyrenaica,Pedipyre,Orobanchaceae,Temperate,Not yet,Strict alpine
310821-04,Pedicularis pyrenaica,Pedipyre,Orobanchaceae,Temperate,Not yet,Strict alpine
240821-10,Phyteuma hemisphaericum,Phythemi,Campanulaceae,Mediterranean,Yes,Strict alpine
250821-07,Phyteuma hemisphaericum,Phythemi,Campanulaceae,Mediterranean,Yes,Strict alpine
240821-04,Plantago holosteum,Planalpi,Plantaginaceae,Mediterranean,Yes,Generalist
300821-15,Plantago alpina,Planholo,Plantaginaceae,Temperate,Yes,Strict alpine
240821-09,Sedum anglicum,Seduangl,Crassulaceae,Mediterranean,Yes,Strict alpine
240821-11,Sedum brevifolium,Sedubrev,Crassulaceae,Mediterranean,Yes,Generalist
130921-07,Silene acaulis,Sileacau,Caryophyllaceae,Temperate,Yes,Strict alpine
140921-03,Silene acaulis,Sileacau,Caryophyllaceae,Temperate,Yes,Strict alpine
230921-01,Silene ciliata,Silecili.1,Caryophyllaceae,Mediterranean,Yes,Strict alpine
300821-11,Silene ciliata,Silecili,Caryophyllaceae,Temperate,Yes,Strict alpine
240821-08,Solidago virgaurea,Solivirg,Asteraceae,Mediterranean,Yes,Generalist
150721-01,Spergula morisonii,Spermori,Caryophyllaceae,Mediterranean,Yes,Generalist
120821-06,Thymus praecox,Thymprae.1,Lamiaceae,Mediterranean,Yes,Generalist
300821-07,Thymus praecox,Thymprae,Lamiaceae,Temperate,Yes,Generalist
